timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
322406611,25.320257,25.25199,16.55709,17.525242,0.0,512.3236,0.9634875,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
322912265,25.320257,25.264961,19.801418,19.4207,0.0,515.2015,0.96328187,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
323405942,25.320257,25.265322,15.580304,20.120674,0.0,518.128,0.9630727,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
323922009,25.320257,25.280828,18.126928,17.905905,0.0,520.4413,0.9629076,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
324415456,25.320257,25.288607,20.045616,18.896568,0.0,523.1125,0.96271676,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
324920259,25.320257,25.29247,16.27801,18.71067,0.0,525.71094,0.96253115,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
325425906,25.320257,25.292109,16.661747,18.601608,0.0,528.35834,0.96234196,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
325917849,25.320257,25.301342,17.498993,16.824638,0.0,530.47656,0.9621905,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
326423456,25.320257,25.306467,16.138468,16.474155,0.0,532.7751,0.9620263,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
326928253,25.320257,25.308697,15.336107,16.561144,0.0,535.0857,0.9618611,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
327421080,25.320257,25.310982,13.208107,15.163431,0.0,537.038,0.9617215,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
327925958,25.320257,25.314184,16.41755,15.395199,0.0,539.1769,0.9615687,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
328431492,25.320257,25.312222,21.72011,17.461065,0.0,541.8283,0.9613793,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
328925068,25.320257,25.310871,15.615189,18.59505,0.0,544.57294,0.96118325,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
329430712,25.320257,25.31411,11.5685,14.849243,0.0,546.29565,0.9610603,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
329936234,25.227509,25.30854,26.255192,17.684774,0.0,548.9193,0.9608728,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
330429867,25.091478,25.276424,37.27893,23.592758,0.0,552.61835,0.9606086,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
330933836,25.320257,25.26613,15.057025,22.258713,0.0,555.8574,0.9603773,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
331439459,25.215143,25.277441,22.103846,20.85598,0.0,558.5455,0.96018535,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
331944289,25.270792,25.25728,23.080633,25.540936,0.0,562.6681,0.9598909,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
