timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
584928878,24.018322,24.40969,0.0,0.0035455935,-1.0,0.100538604,1.0,1.0,nan,6,4.0682817,4.0682817,4.0682817,4.0682817,4.0682817,4.0682817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
585128878,24.055689,24.350462,0.0,0.0023860827,-1.0,0.100538604,1.0,1.0,nan,6,4.05841,4.05841,4.05841,4.05841,4.05841,4.05841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
585329230,23.996447,24.28958,0.0,0.0016057652,-1.0,0.100538604,0.993584,1.0006114,nan,6,4.048263,4.048263,4.048263,4.048263,4.048263,4.048263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
585528878,23.988245,24.226206,0.0,0.0010806341,-1.0,0.100538604,0.9817069,1.0017452,nan,6,4.037701,4.037701,4.037701,4.037701,4.037701,4.037701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
585728876,23.898928,24.164646,0.0,0.0007949075,-1.0,0.10054878,0.9694446,1.0029186,nan,6,4.027441,4.027441,4.027441,4.027441,4.027441,4.027441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
585938877,23.66834,24.104813,0.0,0.0005244608,-1.0,0.10054878,0.9563945,1.0041702,nan,6,4.017469,4.017469,4.017469,4.017469,4.017469,4.017469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
586529053,23.692947,23.982372,0.0,0.00016304328,-1.0,0.10054878,0.93010837,1.0067009,nan,6,3.997062,3.997062,3.997062,3.997062,3.997062,3.997062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
586728910,23.822369,23.943642,0.0,0.000109723485,-1.0,0.10054878,0.9198249,1.0076945,nan,6,3.990607,3.990607,3.990607,3.990607,3.990607,3.990607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
586928899,23.717556,23.907682,0.0,7.3840776e-05,-1.0,0.10054878,0.9099029,1.008655,nan,6,3.9846137,3.9846137,3.9846137,3.9846137,3.9846137,3.9846137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
587128878,23.677454,23.879467,0.0,4.969273e-05,-1.0,0.10054878,0.9029706,1.009327,nan,6,3.979911,3.979911,3.979911,3.979911,3.979911,3.979911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
